Country,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95-99
Israel,1950,2.2680000000000002,0.086,0.05299999999999999,0.121,0.153,0.147,0.135,0.19400000000000003,0.21499999999999997,0.28600000000000003,0.36500000000000005,0.35900000000000004,0.5609999999999999,0.592,0.666,0.623,0.289,0.191,0.09,0.020999999999999998
Israel,1951,2.463,0.108,0.074,0.146,0.219,0.186,0.165,0.237,0.274,0.35900000000000004,0.488,0.469,0.6950000000000001,0.727,0.885,0.8460000000000001,0.425,0.211,0.111,0.024999999999999998
Israel,1952,2.563,0.16199999999999998,0.081,0.16499999999999998,0.21400000000000002,0.17900000000000002,0.192,0.245,0.328,0.4139999999999999,0.521,0.498,0.784,0.801,1.046,0.9070000000000001,0.482,0.18000000000000002,0.103,0.023
Israel,1953,3.117,0.15499999999999997,0.083,0.167,0.201,0.188,0.17200000000000001,0.186,0.34800000000000003,0.393,0.625,0.635,0.7929999999999999,0.8410000000000001,1.096,1.0470000000000002,0.618,0.20500000000000002,0.11499999999999999,0.028000000000000004
Israel,1954,2.965,0.172,0.081,0.195,0.201,0.17600000000000002,0.188,0.20800000000000002,0.37300000000000005,0.42399999999999993,0.673,0.659,0.8720000000000001,0.9760000000000002,1.134,1.119,0.709,0.23600000000000002,0.111,0.028999999999999998
Israel,1955,2.9890000000000008,0.133,0.077,0.135,0.167,0.138,0.18000000000000002,0.159,0.324,0.42199999999999993,0.5349999999999999,0.6950000000000001,0.776,0.9730000000000001,1.011,1.005,0.689,0.249,0.095,0.026000000000000002
Israel,1956,3.184,0.144,0.099,0.229,0.27599999999999997,0.17900000000000002,0.20699999999999996,0.21300000000000002,0.312,0.44299999999999995,0.631,0.8739999999999999,0.8510000000000001,1.06,1.1300000000000001,1.1400000000000001,0.865,0.345,0.10600000000000001,0.029
Israel,1957,3.213,0.20199999999999999,0.11299999999999999,0.212,0.22400000000000003,0.17400000000000002,0.203,0.193,0.346,0.47,0.657,0.9179999999999999,0.985,1.24,1.154,1.1920000000000002,0.98,0.429,0.11399999999999999,0.031
Israel,1958,2.7780000000000005,0.173,0.10999999999999999,0.135,0.153,0.14200000000000002,0.159,0.20999999999999996,0.3,0.497,0.63,0.8599999999999999,1.048,1.1640000000000001,1.14,1.099,0.9630000000000001,0.45999999999999996,0.123,0.028999999999999998
Israel,1959,2.412,0.16099999999999998,0.08600000000000001,0.11499999999999999,0.153,0.14500000000000002,0.18300000000000002,0.21599999999999997,0.283,0.5329999999999999,0.7050000000000001,1.001,1.091,1.248,1.296,1.136,1.018,0.522,0.15099999999999997,0.031
Israel,1960,2.541,0.175,0.11399999999999999,0.149,0.142,0.153,0.157,0.21299999999999997,0.255,0.46499999999999997,0.7210000000000001,0.911,1.11,1.181,1.3210000000000002,1.055,0.9360000000000002,0.519,0.16799999999999998,0.035
Israel,1961,2.1510000000000002,0.147,0.133,0.154,0.151,0.154,0.154,0.198,0.256,0.448,0.7240000000000001,0.9329999999999999,1.282,1.3280000000000003,1.465,1.29,1.129,0.697,0.251,0.054000000000000006
Israel,1962,2.458,0.155,0.12,0.167,0.149,0.131,0.19200000000000003,0.192,0.279,0.486,0.7970000000000002,0.982,1.419,1.353,1.654,1.4480000000000002,1.162,0.765,0.28400000000000003,0.064
Israel,1963,2.2380000000000004,0.135,0.10399999999999998,0.18400000000000002,0.149,0.137,0.166,0.22299999999999998,0.29200000000000004,0.43700000000000006,0.882,1.12,1.523,1.554,1.7530000000000001,1.6320000000000001,1.185,0.806,0.29399999999999993,0.067
Israel,1964,2.4120000000000004,0.16299999999999998,0.123,0.18000000000000002,0.17200000000000001,0.132,0.17400000000000002,0.242,0.35200000000000004,0.46499999999999997,0.9109999999999999,1.1440000000000001,1.5659999999999998,1.6980000000000002,1.758,1.734,1.18,0.806,0.29599999999999993,0.068
Israel,1965,2.286,0.111,0.121,0.196,0.13099999999999998,0.14100000000000001,0.17,0.237,0.37000000000000005,0.43399999999999994,0.875,1.213,1.5899999999999999,1.806,1.745,1.7289999999999999,1.139,0.747,0.28200000000000003,0.064
Israel,1966,2.151,0.117,0.121,0.19600000000000004,0.161,0.14,0.152,0.20800000000000002,0.325,0.478,0.7849999999999999,1.294,1.634,1.961,1.826,1.814,1.233,0.761,0.30399999999999994,0.067
Israel,1967,2.1039999999999996,0.13699999999999998,0.123,0.22,0.20900000000000002,0.13,0.17800000000000002,0.196,0.355,0.486,0.8450000000000001,1.369,1.7029999999999998,2.125,2.059,1.885,1.36,0.778,0.32999999999999996,0.07100000000000001
Israel,1968,2.06,0.13499999999999998,0.133,0.316,0.357,0.168,0.22899999999999998,0.243,0.34099999999999997,0.538,0.7490000000000001,1.424,1.8099999999999998,2.2809999999999997,2.145,1.957,1.5270000000000001,0.8260000000000001,0.368,0.07799999999999999
Israel,1969,1.986,0.16299999999999998,0.133,0.317,0.344,0.163,0.20500000000000002,0.23099999999999998,0.373,0.585,0.7750000000000001,1.5,2.016,2.4499999999999997,2.321,1.98,1.615,0.8410000000000001,0.378,0.079
Israel,1970,2.029,0.16799999999999998,0.134,0.33999999999999997,0.366,0.17099999999999999,0.17300000000000001,0.24,0.355,0.583,0.8350000000000002,1.4609999999999999,2.0869999999999997,2.483,2.585,2.16,1.8599999999999999,1.003,0.44899999999999995,0.101
Israel,1971,1.971,0.151,0.102,0.23500000000000001,0.27799999999999997,0.196,0.17,0.239,0.377,0.593,0.802,1.427,2.154,2.462,2.856,2.264,1.95,1.1069999999999998,0.484,0.11800000000000001
Israel,1972,2.107,0.16599999999999998,0.131,0.249,0.285,0.17800000000000002,0.19000000000000003,0.241,0.349,0.643,0.881,1.43,2.267,2.675,3.186,2.509,2.092,1.2710000000000001,0.5429999999999999,0.149
Israel,1973,2.2809999999999997,0.153,0.125,0.20500000000000002,0.228,0.17800000000000002,0.162,0.276,0.4,0.632,0.9219999999999999,1.4289999999999998,2.406,2.877,3.27,2.723,2.123,1.3559999999999999,0.5599999999999999,0.163
Israel,1974,2.41,0.16299999999999998,0.138,0.29,0.31,0.203,0.186,0.21199999999999997,0.399,0.657,0.982,1.301,2.4979999999999998,2.973,3.378,2.95,2.146,1.428,0.572,0.16899999999999998
Israel,1975,2.478,0.154,0.13899999999999998,0.303,0.387,0.26799999999999996,0.203,0.279,0.35500000000000004,0.608,0.986,1.264,2.398,3.0429999999999997,3.4850000000000003,3.2159999999999997,2.2409999999999997,1.536,0.6119999999999999,0.184
Israel,1976,2.2479999999999998,0.157,0.122,0.227,0.28099999999999997,0.196,0.18400000000000002,0.252,0.362,0.597,0.9199999999999999,1.3079999999999998,2.1689999999999996,3.079,3.3660000000000005,3.242,2.211,1.5100000000000002,0.6159999999999999,0.18
Israel,1977,1.988,0.149,0.12,0.258,0.309,0.23299999999999998,0.21000000000000002,0.21099999999999997,0.35000000000000003,0.5609999999999999,0.9609999999999999,1.369,2.194,3.253,3.6260000000000003,3.559,2.464,1.619,0.696,0.19499999999999998
Israel,1978,1.8880000000000001,0.16899999999999998,0.138,0.245,0.286,0.23600000000000002,0.192,0.244,0.35100000000000003,0.585,1.009,1.3639999999999999,2.0170000000000003,3.4749999999999996,3.603999999999999,3.5629999999999997,2.541,1.555,0.716,0.184
Israel,1979,1.8159999999999998,0.144,0.129,0.20500000000000002,0.239,0.236,0.22299999999999998,0.23099999999999998,0.329,0.5529999999999999,0.942,1.4749999999999999,1.859,3.388,3.818,3.774,2.906,1.669,0.834,0.196
